book,chapter_num,chapter_title,pov,word_count,word_percentage,
The Way of Kings,0,Prelude to the Stormlight Archive,Kalak,"1,290.00",0.34%,"1,775,247.00"
The Way of Kings,0.5,Prologue: To Kill,Szeth-son-son-Vallano,"6,128.00",1.59%,35.50494
The Way of Kings,1,Ch1: Stormblessed,Cenn,"4,510.00",1.17%,
The Way of Kings,2,Ch2: Honor is Dead,Kaladin,"5,023.00",1.31%,
The Way of Kings,3,Ch3: City of Bells,Shallan Davar,"5,279.00",1.37%,
The Way of Kings,4,Ch4: The Shattered Plains,Kaladin,"4,100.00",1.07%,
The Way of Kings,5,Ch5: Heretic,Shallan Davar,"3,994.00",1.04%,
The Way of Kings,6,Ch6: Bridge Four,Kaladin,"7,184.00",1.87%,
The Way of Kings,7,Ch7: Anything Reasonable,Shallan Davar,"6,146.00",1.60%,
The Way of Kings,8,Ch8: Nearer the Flame,Shallan Davar,"6,887.00",1.79%,
The Way of Kings,9,Ch9: Damnation,Kaladin,"2,316.00",0.60%,
The Way of Kings,10,Ch10: Stories of Surgeons,Kaladin (flashback),"2,290.00",0.60%,
The Way of Kings,11,Ch11: Droplets,Kaladin,"3,160.00",0.82%,
The Way of Kings,11.1,Interlude: Ishikk,Ishikk,"2,058.00",0.54%,
The Way of Kings,11.2,Interlude: Nan Balat,Balat Davar,"1,344.00",0.35%,
The Way of Kings,11.3,Interlude: The Glory of Ignorance,Szeth-son-son-Vallano,"2,017.00",0.52%,
The Way of Kings,12,Ch12: Unity,Adolin Kholin,"1,402.00",0.36%,
The Way of Kings,12,Ch12: Unity,Dalinar Kholin,"1,692.00",0.44%,
The Way of Kings,12,Ch12: Unity,Adolin Kholin,"4,535.00",1.18%,
The Way of Kings,13,Ch13: Ten Heartbeats,Dalinar Kholin,"2,626.00",0.68%,
The Way of Kings,13,Ch13: Ten Heartbeats,Adolin Kholin,726.00,0.19%,
The Way of Kings,14,Ch14: Payday,Kaladin,"3,872.00",1.01%,
The Way of Kings,15,Ch15: The Decoy,Adolin Kholin,635.00,0.17%,
The Way of Kings,15,Ch15: The Decoy,Dalinar Kholin,"3,493.00",0.91%,
The Way of Kings,15,Ch15: The Decoy,Adolin Kholin,"4,134.00",1.08%,
The Way of Kings,15,Ch15: The Decoy,Dalinar Kholin,889.00,0.23%,
The Way of Kings,16,Ch16: Cocoons,Kaladin (flashback),"5,600.00",1.46%,
The Way of Kings,17,"Ch17: A Bloody, Red Sunset",Kaladin,"6,974.00",1.81%,
The Way of Kings,18,Ch18: Highprince of War,Adolin Kholin,"1,107.00",0.29%,
The Way of Kings,18,Ch18: Highprince of War,Dalinar Kholin,"2,193.00",0.57%,
The Way of Kings,18,Ch18: Highprince of War,Adolin Kholin,"1,481.00",0.39%,
The Way of Kings,18,Ch18: Highprince of War,Dalinar Kholin,"3,638.00",0.95%,
The Way of Kings,19,Ch19: Starfalls,Dalinar Kholin,"5,936.00",1.54%,
The Way of Kings,20,Ch20: Scarlet,Kaladin (flashback),748.00,0.19%,
The Way of Kings,21,Ch21: Why Men Lie,Kaladin,"4,364.00",1.14%,
The Way of Kings,22,"Ch22: Eyes, Hands or Spheres",Dalinar Kholin,"5,671.00",1.48%,
The Way of Kings,23,Ch23: Many Uses,Kaladin,"5,422.00",1.41%,
The Way of Kings,24,Ch24: The Gallery of Maps,Dalinar Kholin,"2,137.00",0.56%,
The Way of Kings,24,Ch24: The Gallery of Maps,Adolin Kholin,"1,336.00",0.35%,
The Way of Kings,25,Ch25: The Butcher,Kaladin (flashback),"3,285.00",0.85%,
The Way of Kings,26,Ch26: Stillness,Dalinar Kholin,"6,587.00",1.71%,
The Way of Kings,27,Ch27: Chasm Duty,Kaladin,"9,105.00",2.37%,
The Way of Kings,28,Ch28: Decision,Adolin Kholin,"3,157.00",0.82%,
The Way of Kings,28,Ch28: Decision,Dalinar Kholin,"6,403.00",1.67%,
The Way of Kings,28.1,Interlude: Rysn,Rysn,"2,768.00",0.72%,
The Way of Kings,28.2,Interlude: Axies the Collector,Axies the Collector,"2,100.00",0.55%,
The Way of Kings,28.3,Interlude: A Work of Art,Szeth-son-son-Vallano,"3,471.00",0.90%,
The Way of Kings,29,Ch29: Errorgance,Shallan Davar,"6,562.00",1.71%,
The Way of Kings,30,Ch30: Darkness Unseen,Kaladin,328.00,0.09%,
The Way of Kings,30,Ch30: Darkness Unseen,Gaz,"1,046.00",0.27%,
The Way of Kings,30,Ch30: Darkness Unseen,Kaladin,"1,862.00",0.48%,
The Way of Kings,30,Ch30: Darkness Unseen,Gaz,401.00,0.10%,
The Way of Kings,31,Ch31: Beneath the Skin,Kaladin (flashback),"1,994.00",0.52%,
The Way of Kings,32,Ch32: Side Carry,Kaladin,"4,813.00",1.25%,
The Way of Kings,33,Ch33: Cymatics,Shallan Davar,"5,708.00",1.49%,
The Way of Kings,34,Ch34: Stormwall,Kaladin,"1,981.00",0.52%,
The Way of Kings,35,Ch35: A Light by Which to See,Kaladin,"1,197.00",0.31%,
The Way of Kings,35,Ch35: A Light by Which to See,Teft,697.00,0.18%,
The Way of Kings,36,Ch36: The Lesson,Shallan Davar,"5,441.00",1.42%,
The Way of Kings,37,Ch37: Sides,Kaladin (flashback),"5,810.00",1.51%,
The Way of Kings,38,Ch38: Envisager,Kaladin,721.00,0.19%,
The Way of Kings,38,Ch38: Envisager,Teft,992.00,0.26%,
